"平成22年基準和歌山市消費者物価指数変化率(前月比)【10倍値】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"含類総連番","001","002","003","024","025","062","075","088","089","140","141","162","182","200","220","238","247","275","276","290","310","311","313","316","318","321","322","340","345","351","369","384","392","393","394","397","424","425","442","453","461","469","474","475","488","498","504","505","523","548","560","561","573","576","580","581","595","633","649","686","687","694","717","730","733","741","742","743","744","745","746","747","748","749","750","751","752","753","754","755","","",""
"類符号","0001","0002","0003","0008","0009","0013","0016","0021","0022","0027","0028","0030","0033","0034","0037","0041","0042","0045","0046","0051","0054","0056","0057","0058","0059","0060","0061","0066","0070","0073","0077","0081","0082","0083","0084","0085","0089","0090","0094","0098","0103","0106","0107","0108","0109","0110","0111","0112","0113","0117","0118","0119","0120","0121","0122","0123","0128","0134","0138","0145","0146","0147","0151","0155","0156","0157","0158","0159","0160","0161","0172","0163","0164","0165","0166","0167","0168","0162","0173","0169","","",""
"類","総合","食料","穀類","魚介類","生鮮魚介","肉類","乳卵類","野菜・海藻","生鮮野菜","果物","生鮮果物","油脂・調味料","菓子類","調理食品","飲料","酒類","外食","住居","家賃","設備修繕・維持","光熱・水道","電気代","ガス代","他の光熱","上下水道料","家具・家事用品","家庭用耐久財","室内装備品","寝具類","家事雑貨","家事用消耗品","家事サービス","被服及び履物","衣料","和服","洋服","シャツ・セーター・下着類","シャツ・セーター類","下着類","履物類","他の被服類","被服関連サービス","保健医療","医薬品・健康保持用摂取品","保健医療用品・器具","保健医療サービス","交通・通信","交通","自動車等関係費","通信","教育","授業料等","教科書・学習参考教材","補習教育","教養娯楽","教養娯楽用耐久財","教養娯楽用品","書籍・他の印刷物","教養娯楽サービス","諸雑費","理美容サービス","理美容用品","身の回り用品","たばこ","他の諸雑費","生鮮食品","生鮮魚介（再掲）","生鮮野菜（再掲）","生鮮果物（再掲）","生鮮食品を除く総合","生鮮食品を除く食料","持家の帰属家賃を除く総合","持家の帰属家賃を除く住居","持家の帰属家賃を除く家賃","帰属家賃及び生鮮食品を除く総合","エネルギー","食料（酒類を除く）及びエネルギーを除く総合","教育関係費","教養娯楽関係費","情報通信関係費","","",""
"197001","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","",""
"197002","3","3","0","-48","-74","-1","-22","59","107","76","79","-12","4","17","0","0","2","18","24","9","0","0","0","-3","-","3","1","20","7","3","0","0","-33","-75","-5","-95","0","0","0","0","1","0","64","0","0","97","0","0","0","0","0","0","0","-","9","0","38","3","5","0","0","0","0","0","0","21","-74","107","79","1","-3","2","12","18","-1","-","-","-","-","-","","",""
"197003","11","19","-9","38","59","3","0","34","79","133","137","9","1","104","0","0","0","4","2","8","0","0","0","0","-","7","10","13","0","2","7","0","7","10","2","12","0","0","0","18","-1","0","0","0","20","0","10","0","29","0","0","0","0","-","5","0","2","-3","12","4","16","0","0","0","0","87","59","79","137","4","1","11","6","2","4","-","-","-","-","-","","",""
"197004","11","16","9","-37","-62","4","-31","118","197","58","59","5","0","269","0","0","0","18","20","12","0","0","0","0","-","4","12","2","-29","26","0","0","15","39","-6","54","-2","0","-3","1","0","0","0","0","0","0","-10","0","-28","0","37","47","0","-","14","0","10","3","30","0","0","0","0","0","0","57","-62","197","59","6","0","10","13","16","5","-","-","-","-","-","","",""
"197005","-4","-12","9","17","31","0","-67","-9","-1","-144","-147","17","11","14","0","0","0","-11","-16","3","0","0","-6","14","-","4","3","1","11","4","7","0","48","92","-9","124","-4","-19","9","20","19","33","0","0","0","0","1","0","2","0","0","0","0","-","-5","1","-34","-1","1","2","0","1","12","0","0","-35","31","-1","-147","1","-3","-2","-2","-11","2","-","-","-","-","-","","",""
"197006","-4","-12","0","24","37","6","-10","-202","-293","143","147","5","2","-25","0","0","19","5","-2","22","0","0","0","3","-","0","-5","0","12","2","0","0","5","6","20","2","7","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-3","0","-25","6","0","0","0","0","0","0","0","-57","37","-293","147","0","4","-4","12","-2","1","-","-","-","-","-","","",""
"197007","9","16","0","38","51","1","10","77","128","-34","-34","5","22","28","14","0","22","-20","1","-70","0","0","0","0","-","-1","-8","0","12","1","0","0","7","12","21","9","7","0","12","0","1","0","7","0","0","10","1","0","4","0","0","0","0","-","21","-6","21","-7","50","7","25","0","1","0","0","44","51","128","-34","5","4","9","-41","4","5","-","-","-","-","-","","",""
"197008","-4","-4","1","67","114","-8","-10","-11","-15","-157","-160","-1","22","-42","0","0","0","0","0","2","0","0","0","0","-","1","-3","0","11","0","0","0","-52","-124","8","-161","7","0","12","-15","0","0","-5","-1","0","-7","0","0","0","0","0","0","0","-","10","16","30","6","0","1","0","0","11","0","0","-6","114","-15","-160","-3","-1","-4","1","0","-3","-","-","-","-","-","","",""
"197009","15","22","25","7","8","7","54","29","47","133","135","8","0","-56","0","0","4","3","0","9","0","0","0","0","-","17","30","19","12","17","0","0","63","111","59","128","64","19","99","27","0","0","0","0","0","0","-1","0","-3","0","0","0","0","-","-4","0","-16","-3","0","0","0","0","0","0","0","52","8","47","135","10","12","15","6","0","11","-","-","-","-","-","","",""
"197010","21","33","-1","-34","-64","10","73","240","354","-3","-3","29","19","-38","3","53","0","-1","-5","6","0","0","0","0","-","12","-15","7","14","21","65","0","33","40","17","47","11","17","6","0","28","76","1","-9","76","0","22","71","0","0","0","0","0","-","14","20","56","-1","0","21","78","0","0","0","0","75","-64","354","-3","16","18","23","2","-4","17","-","-","-","-","-","","",""
